"","gene","p","fdr"
"SEMA6D","SEMA6D",1,1
"TLN2","TLN2",1,1
"TMC2","TMC2",1,1
"XIAP","XIAP",0.00110017826779908,0.05308758757445
"CASQ2","CASQ2",1,1
"KCNN3","KCNN3",1,1
"TPR","TPR",1,1
"PDE3B","PDE3B",1,1
"STK38L","STK38L",0.0122936412728813,0.143003060423623
"TYRO3","TYRO3",1,1
"SMAD6","SMAD6",1,1
"ABCA3","ABCA3",1,1
"SLC12A4","SLC12A4",1,1
"ATP4A","ATP4A",1,1
"CATSPERG","CATSPERG",1,1
"VAV1","VAV1",1,1
"GREB1","GREB1",1,1
"ACVR1","ACVR1",1,1
"CCDC141","CCDC141",1,1
"PAX3","PAX3",1,1
"SLC5A6","SLC5A6",1,1
"BIRC6","BIRC6",1,1
"AUP1","AUP1",1,1
"MYH7B","MYH7B",1,1
"SMCR7L","SMCR7L",1,1
"FBXW7","FBXW7",1,1
"FAT1","FAT1",1,1
"ARSK","ARSK",1,1
"COL19A1","COL19A1",1,1
"DLC1","DLC1",0.0428700074231203,0.27502059675391
"FAM49B","FAM49B",1,1
"SPAG17","SPAG17",1,1
"FMO5","FMO5",1,1
"MNAT1","MNAT1",0.000134189496633288,0.0194332736309433
"HELZ","HELZ",0.00153670708551972,0.0617024924547347
"MYT1L","MYT1L",1,1
"HDLBP","HDLBP",1,1
"PLCL2","PLCL2",1,1
"PRRT4","PRRT4",1,1
"LRP12","LRP12",1,1
"DCAF4L2","DCAF4L2",1,1
"GRIN1","GRIN1",1,1
"UNC13B","UNC13B",1,1
"NXF3","NXF3",1,1
"IDH3G","IDH3G",1,1
"LRRC8C","LRRC8C",1,1
"BCAR3","BCAR3",3.35318893809981e-05,0.0101494932449121
"GLYATL2","GLYATL2",0.0081478199813538,0.11898318696455
"SUV420H1","SUV420H1",1,1
"MAPK6","MAPK6",0.00159947466110646,0.0630230873864372
"WDR93","WDR93",1,1
"VWA3A","VWA3A",1,1
"MYH8","MYH8",1,1
"SRCIN1","SRCIN1",1,1
"ANKFY1","ANKFY1",1,1
"TANC2","TANC2",0.00581664748232787,0.107382398236499
"FHOD3","FHOD3",1,1
"SUGP1","SUGP1",0.046653952007115,0.288803695055594
"SPTBN4","SPTBN4",1,1
"PLIN4","PLIN4",1,1
"MCOLN1","MCOLN1",0.0136022605238963,0.148583892411875
"PUM2","PUM2",0.0198306533780036,0.180418896006332
"PIKFYVE","PIKFYVE",0.000624083740748114,0.0405451174446245
"DNMT3A","DNMT3A",1,1
"CAPN13","CAPN13",1,1
"ANGPT4","ANGPT4",1,1
"MOV10L1","MOV10L1",1,1
"CASR","CASR",0.000125039047773924,0.0192589894382924
"ADCY5","ADCY5",1,1
"KLHL6","KLHL6",1,1
"PBRM1","PBRM1",1,1
"INPP4B","INPP4B",1,1
"FRAS1","FRAS1",1,1
"DAB2","DAB2",1,1
"LRFN2","LRFN2",1,1
"PTK7","PTK7",1,1
"TDRD6","TDRD6",1,1
"IMPG1","IMPG1",1,1
"RELN","RELN",0.000557321573024032,0.0386583786954899
"DOCK4","DOCK4",1,1
"HDAC9","HDAC9",1,1
"CARD11","CARD11",1,1
"RPGR","RPGR",1,1
"MTMR8","MTMR8",1,1
"PTPRU","PTPRU",1,1
"POLI","POLI",1,1
"MYH14","MYH14",0.0495711228435678,0.300085551832107
"TFIP11","TFIP11",1,1
"SYBU","SYBU",1,1
"NRG1","NRG1",1,1
"MAGEC3","MAGEC3",1,1
"DNHD1","DNHD1",1,1
"TEP1","TEP1",1,1
"KIAA0586","KIAA0586",1,1
"NBEAL1","NBEAL1",1,1
"KIF3C","KIF3C",1,1
"MED23","MED23",1,1
"ALAS2","ALAS2",1,1
"PABPC5","PABPC5",1,1
"CPN1","CPN1",1,1
"TPP1","TPP1",1,1
"RCOR1","RCOR1",1,1
"PPP1R13B","PPP1R13B",1,1
"PLCB4","PLCB4",0.0102897444701469,0.130513158908016
"GALNT10","GALNT10",1,1
"COL27A1","COL27A1",1,1
"LRRC7","LRRC7",1,1
"LCT","LCT",0.0209514274415282,0.185911119166818
"ANKZF1","ANKZF1",1,1
"MSX2","MSX2",1,1
"RAB24","RAB24",1,1
"AASS","AASS",1,1
"OPRK1","OPRK1",1,1
"FAM47B","FAM47B",1,1
"IL2RG","IL2RG",1,1
"HIST2H2BE","HIST2H2BE",0.0222826089571546,0.188194804299695
"LAPTM5","LAPTM5",0.00459386315090629,0.0981929906435717
"DEAF1","DEAF1",1,1
"PDE3A","PDE3A",0.0390740053497404,0.258052728990288
"RAD51AP1","RAD51AP1",1,1
"CBFB","CBFB",1,1
"MYH13","MYH13",1,1
"SRBD1","SRBD1",1,1
"TRAK1","TRAK1",1,1
"SH3D19","SH3D19",0.0378641842004094,0.254427449637261
"GJA1","GJA1",1,1
"E2F8","E2F8",1,1
"PITPNM1","PITPNM1",0.00540637440841315,0.105885432898892
"GUCY2C","GUCY2C",1,1
"TTLL5","TTLL5",1,1
"RYR3","RYR3",1,1
"FRMD5","FRMD5",1,1
"MCTP2","MCTP2",0.023169337460602,0.192135265442277
"STAT5B","STAT5B",0.0166244523897089,0.162797394798634
"SMARCA4","SMARCA4",1,1
"RANBP2","RANBP2",0.0130518805240651,0.147060020997884
"NR4A2","NR4A2",0.0301683046584887,0.225719933394243
"OTOF","OTOF",1,1
"EPB41L1","EPB41L1",0.0193895989549026,0.178582765478142
"DYRK1A","DYRK1A",1,1
"DNAJB7","DNAJB7",0.042100377455157,0.271390526112188
"MCAT","MCAT",1,1
"SMC1B","SMC1B",1,1
"MRPS22","MRPS22",1,1
"MUC20","MUC20",1,1
"BAP1","BAP1",1,1
"PPP3CA","PPP3CA",1,1
"FNDC1","FNDC1",1,1
"NKAPL","NKAPL",1,1
"UBR2","UBR2",1,1
"EYS","EYS",1,1
"PKD1L1","PKD1L1",1,1
"ZNF479","ZNF479",0.00654890016465057,0.111765509805941
"ADCY8","ADCY8",1,1
"MPDZ","MPDZ",1,1
"TUBB4B","TUBB4B",1,1
"STAG2","STAG2",1,1
"ZNF674","ZNF674",1,1
"NPHP4","NPHP4",1,1
"HVCN1","HVCN1",1,1
"ACSM2B","ACSM2B",1,1
"STEAP3","STEAP3",1,1
"NCKAP1","NCKAP1",0.0100928182750725,0.129996280258623
"SLC11A1","SLC11A1",1,1
"TTC7A","TTC7A",1,1
"CADPS","CADPS",1,1
"PTCH1","PTCH1",1,1
"HUWE1","HUWE1",0.0387092065696281,0.257764606547153
"PYCR2","PYCR2",1,1
"GREB1L","GREB1L",1,1
"ATP1A3","ATP1A3",0.0147060014528941,0.152534678621217
"LIPE","LIPE",0.00600636066158803,0.107688550778079
"FBXO30","FBXO30",1,1
"UHRF1BP1","UHRF1BP1",1,1
"TLN1","TLN1",1,1
"UBR4","UBR4",1,1
"EIF2B3","EIF2B3",1,1
"IL10RA","IL10RA",1,1
"STRC","STRC",1,1
"VPS13C","VPS13C",0.00436896515826582,0.0953866852094822
"GRIK1","GRIK1",1,1
"AADAC","AADAC",1,1
"JAKMIP1","JAKMIP1",1,1
"CHSY3","CHSY3",1,1
"CSMD3","CSMD3",1,1
"DMRT3","DMRT3",1,1
"DCAF12L1","DCAF12L1",1,1
"IGSF1","IGSF1",0.0309434440051113,0.229969189319237
"TESK2","TESK2",1,1
"DCLRE1C","DCLRE1C",1,1
"HSPA8","HSPA8",1,1
"ESAM","ESAM",0.0354776856789955,0.245322854554965
"HYLS1","HYLS1",1,1
"RSF1","RSF1",1,1
"UBE3B","UBE3B",1,1
"TMCC3","TMCC3",1,1
"SPG11","SPG11",1,1
"CLEC16A","CLEC16A",1,1
"AP1G1","AP1G1",1,1
"ARHGAP35","ARHGAP35",1,1
"CRX","CRX",1,1
"ZSCAN5A","ZSCAN5A",1,1
"CLASP1","CLASP1",1,1
"NEB","NEB",3.7870516028899e-07,0.000360256808909198
"SF3B1","SF3B1",1,1
"CASP8","CASP8",0.0470234065441647,0.289665924308596
"FARP2","FARP2",1,1
"XDH","XDH",1,1
"LRPPRC","LRPPRC",1,1
"TGIF2","TGIF2",1,1
"ZMYND8","ZMYND8",0.00253361634736204,0.0783989027938248
"CCNG2","CCNG2",1,1
"PCDHGA1","PCDHGA1",0.0467745295266096,0.288908808490666
"HABP4","HABP4",1,1
"CACNA1E","CACNA1E",1,1
"NARS2","NARS2",1,1
"CIT","CIT",1,1
"PIP5K1C","PIP5K1C",0.0395588354000124,0.260041742279055
"ARHGAP18","ARHGAP18",1,1
"RAD21","RAD21",1,1
"GPR56","GPR56",1,1
"FTSJ3","FTSJ3",1,1
"PWP2","PWP2",1,1
"EPB41L4A","EPB41L4A",1,1
"SNX3","SNX3",0.0406804674270955,0.266035344540417
"GRM1","GRM1",0.01235668906609,0.143003060423623
"RNF19A","RNF19A",1,1
"PTGFRN","PTGFRN",1,1
"SPEN","SPEN",0.000939163321224434,0.0484797562483217
"MARK1","MARK1",0.0158335466937232,0.158311692843098
"CEP170","CEP170",0.0123696895635991,0.143003060423623
"CC2D1B","CC2D1B",1,1
"PDCD11","PDCD11",0.000374746399676319,0.0320635614351142
"MLL","MLL",5.47031291730326e-05,0.0117505850697814
"LMO2","LMO2",1,1
"FERMT3","FERMT3",1,1
"PCF11","PCF11",1,1
"WDR66","WDR66",1,1
"KNTC1","KNTC1",1,1
"DIP2B","DIP2B",1,1
"PARP4","PARP4",1,1
"STARD13","STARD13",1,1
"IPO5","IPO5",1,1
"LTB4R2","LTB4R2",1,1
"RBM25","RBM25",1,1
"MYO9A","MYO9A",1,1
"SLC12A3","SLC12A3",1,1
"RFFL","RFFL",1,1
"CACNA1G","CACNA1G",1,1
"GRIN2C","GRIN2C",1,1
"MALT1","MALT1",1,1
"ANKRD12","ANKRD12",1,1
"DHPS","DHPS",1,1
"ZNF626","ZNF626",1,1
"ZNF527","ZNF527",1,1
"HNRNPL","HNRNPL",1,1
"SHANK1","SHANK1",0.0447930743910368,0.282068975176472
"MRPS9","MRPS9",1,1
"ZDBF2","ZDBF2",0.000181863810590082,0.0237012639273006
"PPP1R7","PPP1R7",1,1
"LTBP1","LTBP1",1,1
"PELI1","PELI1",1,1
"ZAP70","ZAP70",1,1
"RIN2","RIN2",1,1
"DIP2A","DIP2A",1,1
"BAIAP2L2","BAIAP2L2",1,1
"PPP2R3A","PPP2R3A",1,1
"ZIC1","ZIC1",1,1
"GYG1","GYG1",1,1
"SI","SI",1,1
"N4BP2","N4BP2",1,1
"FAM13A","FAM13A",1,1
"PDCD6","PDCD6",1,1
"GCM2","GCM2",1,1
"KATNA1","KATNA1",1,1
"AKAP12","AKAP12",1,1
"HIST1H2BF","HIST1H2BF",1,1
"HIST1H1B","HIST1H1B",0.0108371803086963,0.133638488288164
"NRCAM","NRCAM",1,1
"CALD1","CALD1",1,1
"ACTB","ACTB",1,1
"SUN1","SUN1",1,1
"TRPS1","TRPS1",0.00682729284515995,0.111765509805941
"WRN","WRN",1,1
"ASH2L","ASH2L",0.0481870838962216,0.294113466237342
"PAG1","PAG1",1,1
"DENND1A","DENND1A",1,1
"SETX","SETX",0.0367808826678364,0.250139413911084
"KIAA1432","KIAA1432",1,1
"IARS","IARS",1,1
"RGAG1","RGAG1",1,1
"TRPC5","TRPC5",1,1
"F9","F9",1,1
"PDHA1","PDHA1",1,1
"ERCC6L","ERCC6L",0.00102844179820055,0.0511074174195333
"PEX11B","PEX11B",1,1
"ARHGAP21","ARHGAP21",1,1
"FANCE","FANCE",1,1
"UBC","UBC",0.0463856860905255,0.288015352566191
"ACACA","ACACA",0.00590208105639868,0.107382398236499
"ACLY","ACLY",0.0378131143161485,0.254427449637261
"MOCOS","MOCOS",1,1
"CACNA1A","CACNA1A",1,1
"HAUS5","HAUS5",1,1
"RGS12","RGS12",1,1
"GCC1","GCC1",1.82122689130344e-05,0.00674327103808167
"TRAPPC9","TRAPPC9",1,1
"BRDT","BRDT",0.0373182668986533,0.252286638861048
"DYNC2H1","DYNC2H1",1,1
"PPM1H","PPM1H",1,1
"DYRK2","DYRK2",0.00640302234293163,0.11074733969242
"SLC6A4","SLC6A4",1,1
"ITGA2B","ITGA2B",1,1
"CEP76","CEP76",1,1
"SORBS2","SORBS2",0.0105568556240092,0.132359607485603
"SRSF11","SRSF11",1,1
"DDX50","DDX50",0.0151526606175208,0.154520010799496
"USP15","USP15",1,1
"CNOT2","CNOT2",1,1
"PTPRB","PTPRB",1,1
"SUCLA2","SUCLA2",1,1
"PPP4R4","PPP4R4",1,1
"ABCA10","ABCA10",1,1
"SERPINB12","SERPINB12",1,1
"RPL18A","RPL18A",1,1
"XRCC1","XRCC1",1,1
"NCKAP5","NCKAP5",1,1
"PAK7","PAK7",1,1
"FGA","FGA",0.000521858480208753,0.0377723436925009
"GPRIN3","GPRIN3",1,1
"GNB2L1","GNB2L1",1,1
"CDH6","CDH6",1,1
"ZNF107","ZNF107",1,1
"ZNF251","ZNF251",1,1
"HR","HR",1,1
"ARHGEF2","ARHGEF2",1,1
"MTR","MTR",1,1
"ANKRD11","ANKRD11",1,1
"CACNB1","CACNB1",1,1
"KIR2DL1","KIR2DL1",1,1
"SOS1","SOS1",1,1
"ADPRH","ADPRH",1,1
"HIST1H3B","HIST1H3B",1,1
"KIAA2026","KIAA2026",1,1
"NBPF10","NBPF10",1,1
"NCF2","NCF2",1,1
"ASPM","ASPM",0.0067770835173073,0.111765509805941
"TRAF3IP3","TRAF3IP3",1,1
"MEGF6","MEGF6",1,1
"ABCA4","ABCA4",0.00810299317632098,0.118588640793673
"HPS1","HPS1",1,1
"SLK","SLK",0.000217152401631033,0.0258216865341331
"NRP1","NRP1",0.0357412971422052,0.246378154937831
"TCP11L2","TCP11L2",1,1
"TPCN1","TPCN1",1,1
"ATP6V0A2","ATP6V0A2",1,1
"CACNA1C","CACNA1C",0.0159967512012302,0.159226257472335
"FAM60A","FAM60A",1,1
"ATP2B1","ATP2B1",1,1
"LRCH1","LRCH1",1,1
"FOXA1","FOXA1",1,1
"FKBP10","FKBP10",1,1
"NPEPPS","NPEPPS",1,1
"ZNF567","ZNF567",1,1
"HRC","HRC",1,1
"C3","C3",1,1
"WDR33","WDR33",1,1
"DNAH6","DNAH6",1,1
"CTCFL","CTCFL",1,1
"SPICE1","SPICE1",1,1
"UMPS","UMPS",1,1
"PIK3CB","PIK3CB",0.0412905328083513,0.267986021414046
"RARB","RARB",1,1
"TGM4","TGM4",0.00988467866220768,0.128459620202034
"LARP7","LARP7",0.00699778409966389,0.112405268323467
"ADD1","ADD1",0.000924121204843914,0.048075961742622
"PCDHGA11","PCDHGA11",1,1
"MAST4","MAST4",1,1
"LAMA2","LAMA2",0.0390349881918292,0.258052728990288
"ARG1","ARG1",0.0404707342757272,0.2652506097855
"NQO2","NQO2",1,1
"PPP1R3A","PPP1R3A",1,1
"SNX13","SNX13",1,1
"MAGI2","MAGI2",1,1
"HSF1","HSF1",1,1
"ARHGEF10","ARHGEF10",1,1
"AGPAT6","AGPAT6",1,1
"LRCH2","LRCH2",1,1
"SMARCA1","SMARCA1",1,1
"NHS","NHS",0.000388090754681625,0.0323354948850773
"TAB3","TAB3",1,1
"PIM2","PIM2",1,1
"OTUD6A","OTUD6A",1,1
"AGL","AGL",1,1
"CELSR2","CELSR2",1,1
"TDRKH","TDRKH",1,1
"LMOD1","LMOD1",1,1
"PCNXL2","PCNXL2",1,1
"HEATR1","HEATR1",1,1
"AHCTF1","AHCTF1",0.000441703840084322,0.0346035984837823
"TET1","TET1",1,1
"TCIRG1","TCIRG1",1,1
"PLBD2","PLBD2",1,1
"KRT73","KRT73",1,1
"TECPR2","TECPR2",1,1
"AKAP6","AKAP6",1,1
"SMG1","SMG1",1,1
"VASN","VASN",1,1
"NUDT21","NUDT21",0.0277950253174535,0.213726412920234
"ZNRF1","ZNRF1",1,1
"EPN3","EPN3",1,1
"ABCA6","ABCA6",1,1
"KIAA0195","KIAA0195",0.00418585079585407,0.0926032573076156
"POLR2A","POLR2A",1,1
"ZNF101","ZNF101",1,1
"MYO7B","MYO7B",1,1
"COL4A4","COL4A4",1,1
"USP25","USP25",1,1
"TTC3","TTC3",1,1
"ADSL","ADSL",1,1
"TIGIT","TIGIT",1,1
"UBE2E1","UBE2E1",1,1
"XIRP1","XIRP1",1,1
"ITIH1","ITIH1",1,1
"ANKRD50","ANKRD50",1,1
"LETM1","LETM1",0.00159546884504529,0.0630230873864372
"PDGFRA","PDGFRA",1,1
"SLCO4C1","SLCO4C1",1,1
"HSD17B4","HSD17B4",1,1
"ADAMTS19","ADAMTS19",1,1
"HSPA4","HSPA4",1,1
"GRIA1","GRIA1",1,1
"DOCK2","DOCK2",1,1
"PELO","PELO",0.0225078784847714,0.189003736229625
"ZNF318","ZNF318",0.0214608919801817,0.186173353432459
"COL12A1","COL12A1",0.00385125932800741,0.0889206971919284
"PTK2","PTK2",1,1
"UNC5D","UNC5D",1,1
"ASPH","ASPH",1,1
"CSPP1","CSPP1",1,1
"PREX2","PREX2",1,1
"SYK","SYK",1,1
"ABCD1","ABCD1",1,1
"ZNF81","ZNF81",1,1
"HLTF","HLTF",1,1
"HIST1H2BK","HIST1H2BK",1,1
"SPTAN1","SPTAN1",1,1
"MUC2","MUC2",1,1
"FANCF","FANCF",0.00380786200800467,0.0886592768031163
"ATP2A1","ATP2A1",1,1
"PLEKHG2","PLEKHG2",1,1
"PTK2B","PTK2B",1,1
"EYA1","EYA1",1,1
"DENND4C","DENND4C",0.00181353660841792,0.0682279111607625
"KIAA1210","KIAA1210",0.00852761438835143,0.120308017398373
"ZFYVE9","ZFYVE9",1,1
"NRXN2","NRXN2",1,1
"SP9","SP9",1,1
"YEATS2","YEATS2",1,1
"KIAA1045","KIAA1045",1,1
"LINGO4","LINGO4",1,1
"SF3B2","SF3B2",0.00337166681707615,0.0866869858490738
"CPT1A","CPT1A",1,1
"MFSD11","MFSD11",1,1
"SPEG","SPEG",0.000207298220731972,0.0250981609428037
"FAM193A","FAM193A",1,1
"THSD7A","THSD7A",1,1
"ZMIZ2","ZMIZ2",1,1
"CASZ1","CASZ1",1,1
"ATG13","ATG13",1,1
"CCDC88B","CCDC88B",1,1
"PDE2A","PDE2A",1,1
"HS6ST3","HS6ST3",1,1
"AHNAK2","AHNAK2",1,1
"CDAN1","CDAN1",1,1
"SMAD3","SMAD3",0.0462786716297526,0.288009041478993
"CSPG4","CSPG4",1,1
"FURIN","FURIN",1,1
"GAN","GAN",1,1
"SPAG5","SPAG5",0.0318491622895249,0.233766762781258
"ERBB2","ERBB2",1,1
"FOSB","FOSB",1,1
"PRR12","PRR12",1,1
"ASAP2","ASAP2",1,1
"PDIA5","PDIA5",1,1
"GEMIN5","GEMIN5",0.000674439321064341,0.041465420581988
"TUBB2B","TUBB2B",1,1
"FTSJD2","FTSJD2",1,1
"CPSF1","CPSF1",1,1
"FMN2","FMN2",0.00396537109762466,0.0895098513189241
"RIN1","RIN1",1,1
"VPS4B","VPS4B",1,1
"COL7A1","COL7A1",1,1
"NEK1","NEK1",1,1
"FAAH","FAAH",1,1
"GREM1","GREM1",1,1
"CKAP2L","CKAP2L",0.036619133564774,0.250139413911084
"MN1","MN1",1,1
"PPARG","PPARG",1,1
"ANKRD32","ANKRD32",0.0226861912547578,0.189783099956573
"MATN2","MATN2",1,1
"F11R","F11R",0.00225816744580144,0.0771135231876501
"PLXNA2","PLXNA2",1,1
"FUBP1","FUBP1",0.0159056444814384,0.15855641706871
"NOLC1","NOLC1",0.000534857853450762,0.0378895579375386
"PTDSS2","PTDSS2",1,1
"CD5","CD5",1,1
"AKAP13","AKAP13",1,1
"ABCC11","ABCC11",1,1
"TMEM104","TMEM104",1,1
"NPC1","NPC1",1,1
"CTNNBL1","CTNNBL1",1,1
"TRMT2A","TRMT2A",1,1
"CYP27A1","CYP27A1",1,1
"CYTH4","CYTH4",1,1
"RIOK2","RIOK2",1,1
"HDAC8","HDAC8",1,1
"NAALADL1","NAALADL1",1,1
"KDM2B","KDM2B",1,1
"NALCN","NALCN",1,1
"GATM","GATM",1,1
"TRIP4","TRIP4",1,1
"RPP25","RPP25",1,1
"SIN3A","SIN3A",1,1
"ZNF469","ZNF469",1,1
"ZNF585A","ZNF585A",1,1
"BIRC8","BIRC8",1,1
"SP110","SP110",1,1
"THADA","THADA",1,1
"DIDO1","DIDO1",1,1
"PPWD1","PPWD1",1,1
"VCAN","VCAN",1,1
"DSE","DSE",1,1
"TNFAIP3","TNFAIP3",0.0224157862722621,0.188468081801759
"NUP153","NUP153",0.0333101430002571,0.237417299358717
"PBX1","PBX1",0.00370852583411552,0.0886592768031163
"ABCC2","ABCC2",0.0130104494346636,0.147060020997884
"PLEKHA1","PLEKHA1",1,1
"BTAF1","BTAF1",1,1
"NR4A1","NR4A1",1,1
"GNB3","GNB3",1,1
"SLITRK5","SLITRK5",1,1
"PSMA3","PSMA3",1,1
"SUZ12","SUZ12",1,1
"CDC25B","CDC25B",0.0138658319886146,0.149890544175624
"LPIN3","LPIN3",1,1
"POLR2H","POLR2H",1,1
"PTPRG","PTPRG",1,1
"PDZRN3","PDZRN3",1,1
"NFKB1","NFKB1",0.0139761406195795,0.15031699965884
"CCNA2","CCNA2",1,1
"STAP1","STAP1",1,1
"PCDHGC3","PCDHGC3",1,1
"SENP6","SENP6",1,1
"MTSS1","MTSS1",0.0431904902400004,0.276809888843275
"STAU2","STAU2",1,1
"TBC1D8B","TBC1D8B",1,1
"CLIP1","CLIP1",1,1
"ZNFX1","ZNFX1",1,1
"CDK5RAP2","CDK5RAP2",1,1
"TCHHL1","TCHHL1",1,1
"NDUFS2","NDUFS2",1,1
"ARHGEF10L","ARHGEF10L",1,1
"PTCHD3","PTCHD3",1,1
"RRP12","RRP12",0.00600062702960373,0.107688550778079
"DSCAML1","DSCAML1",1,1
"UHRF1BP1L","UHRF1BP1L",1,1
"DYNC1H1","DYNC1H1",0.00586806840336887,0.107382398236499
"HEATR5A","HEATR5A",1,1
"HSPA2","HSPA2",1,1
"UNC119","UNC119",1,1
"ARHGEF15","ARHGEF15",1,1
"DLGAP4","DLGAP4",0.0453770967178696,0.284257842939129
"RAE1","RAE1",1,1
"LAMA5","LAMA5",1,1
"EIF4ENIF1","EIF4ENIF1",1,1
"MECOM","MECOM",1,1
"CCR2","CCR2",1,1
"ERC2","ERC2",0.0329198721903007,0.236731564703253
"SNX25","SNX25",1,1
"SNAP91","SNAP91",1,1
"RBM33","RBM33",1,1
"ERV3-1","ERV3-1",1,1
"PPP1R9A","PPP1R9A",1,1
"SNX27","SNX27",1,1
"IQGAP3","IQGAP3",0.0332157818342866,0.237321771710852
"RCSD1","RCSD1",0.0172892017162629,0.165685949518241
"PTPN7","PTPN7",1,1
"SYT2","SYT2",1,1
"PROX1","PROX1",1,1
"SMYD3","SMYD3",1,1
"PPP1R8","PPP1R8",1,1
"HCRTR1","HCRTR1",1,1
"MAST2","MAST2",0.0467099533826212,0.288803695055594
"FNBP1L","FNBP1L",1,1
"ANKRD26","ANKRD26",1,1
"VSTM4","VSTM4",1,1
"AKR1C2","AKR1C2",0.025506258586653,0.204633946901834
"AIFM2","AIFM2",1,1
"PPA1","PPA1",1,1
"ATM","ATM",4.22862674161903e-05,0.0112633701889764
"FEZ1","FEZ1",0.00276760630648942,0.0801282191083176
"SLC17A6","SLC17A6",1,1
"OSBPL5","OSBPL5",1,1
"CKAP5","CKAP5",1,1
"CPSF7","CPSF7",1,1
"LRFN4","LRFN4",1,1
"FAM76B","FAM76B",1,1
"ESPL1","ESPL1",1,1
"PPP1R12A","PPP1R12A",0.000304227440120906,0.0302365749815689
"MYH6","MYH6",1,1
"REC8","REC8",1,1
"FAM161B","FAM161B",1,1
"TGM5","TGM5",1,1
"NR2E3","NR2E3",1,1
"NFAT5","NFAT5",1,1
"NF1","NF1",1,1
"CDC37","CDC37",1,1
"DHX34","DHX34",1,1
"GORASP2","GORASP2",1,1
"MFF","MFF",1,1
"ECEL1","ECEL1",1,1
"PER2","PER2",1,1
"PRKD3","PRKD3",1,1
"ATRN","ATRN",1,1
"HUNK","HUNK",0.0298456906826618,0.224567755165661
"ETS2","ETS2",1,1
"HIRA","HIRA",1,1
"TTLL1","TTLL1",1,1
"LRRFIP2","LRRFIP2",1,1
"ZNF662","ZNF662",1,1
"SNRK","SNRK",1,1
"KIAA1143","KIAA1143",1,1
"QRICH1","QRICH1",1,1
"CACNA2D2","CACNA2D2",1,1
"INTU","INTU",1,1
"G3BP2","G3BP2",1,1
"PAQR3","PAQR3",1,1
"UBE2D2","UBE2D2",1,1
"PCDHB14","PCDHB14",1,1
"PCDHGA10","PCDHGA10",1,1
"G3BP1","G3BP1",1,1
"CDH10","CDH10",1,1
"HMGCR","HMGCR",1,1
"UTRN","UTRN",1,1
"KIF13A","KIF13A",1,1
"EPHB6","EPHB6",1,1
"PEX1","PEX1",1,1
"DENND3","DENND3",1,1
"LRRCC1","LRRCC1",1,1
"TLR4","TLR4",0.00867954974659882,0.121038789642042
"CUL4B","CUL4B",0.00732600787691616,0.112405268323467
"ILK","ILK",1,1
"EIF5","EIF5",0.0388540439967771,0.257955213334535
"TRAPPC10","TRAPPC10",1,1
"HSD17B10","HSD17B10",1,1
"FLG","FLG",1,1
"HIVEP3","HIVEP3",1,1
"IGSF22","IGSF22",1,1
"CCDC83","CCDC83",1,1
"POU6F1","POU6F1",1,1
"HECTD1","HECTD1",0.000165515433354678,0.0221262074698824
"PSTPIP1","PSTPIP1",1,1
"TAOK1","TAOK1",1,1
"CD79B","CD79B",1,1
"DNAH2","DNAH2",1,1
"CHD3","CHD3",1,1
"UNC13A","UNC13A",1,1
"ZNF426","ZNF426",1,1
"TUBA3D","TUBA3D",0.0211890814542233,0.185911119166818
"COL6A3","COL6A3",1,1
"CTNNA2","CTNNA2",1,1
"ABCF3","ABCF3",1,1
"TRA2B","TRA2B",1,1
"GNL3","GNL3",1,1
"HIST1H4L","HIST1H4L",1,1
"WDR46","WDR46",0.0116430911315415,0.138202038939278
"SYNGAP1","SYNGAP1",1,1
"TNRC18","TNRC18",0.00771487665307968,0.115583333690688
"DMRTA1","DMRTA1",1,1
"MRTO4","MRTO4",0.0055211793529069,0.105952547251921
"RGS10","RGS10",1,1
"NUP160","NUP160",1,1
"DNAH10","DNAH10",0.0133304086481646,0.147747130749657
"ZFC3H1","ZFC3H1",1,1
"MAX","MAX",0.00861969490645286,0.121014903678201
"PLD2","PLD2",0.0341645431680095,0.240488047521961
"ERN1","ERN1",1,1
"BCL2L13","BCL2L13",1,1
"ATP6V1A","ATP6V1A",1,1
"GAB1","GAB1",1,1
"OPLAH","OPLAH",1,1
"ODF2","ODF2",1,1
"OFD1","OFD1",0.00494250222772497,0.101895115586441
"MAP7D2","MAP7D2",1,1
"MSN","MSN",1,1
"LEPRE1","LEPRE1",1,1
"LOXL4","LOXL4",1,1
"ABCC6","ABCC6",1,1
"TM6SF2","TM6SF2",1,1
"PHACTR3","PHACTR3",1,1
"PARP14","PARP14",1,1
"SRPRB","SRPRB",1,1
"NUP155","NUP155",1,1
"ARFGEF1","ARFGEF1",1,1
"PTPN3","PTPN3",1,1
"TRPM6","TRPM6",0.0262514282487609,0.207872882853526
"CACHD1","CACHD1",1,1
"LDB3","LDB3",1,1
"SYNE2","SYNE2",0.000352316900056615,0.0308694504931184
"DUOX1","DUOX1",0.0267222837050289,0.209147364915375
"CEP152","CEP152",1,1
"OR1A1","OR1A1",1,1
"MRC2","MRC2",1,1
"RFX1","RFX1",1,1
"F2RL3","F2RL3",1,1
"JAK3","JAK3",1,1
"ZNF43","ZNF43",0.0209040852414706,0.185911119166818
"GLI2","GLI2",1,1
"TSHZ2","TSHZ2",1,1
"AIMP1","AIMP1",0.0321340823126027,0.234696057931526
"NUDCD1","NUDCD1",1,1
